# Kim, K. U., Elliott, G. S., and Dutton, J. C., “A Three-Dimensional Experimental Study of Compressibility Effects on Turbulent Free Shear Layers,” AIAA Aviation Conference, Atlanta, GA, 2018.
# This work was funded by the NASA Aeronautics Mission Directorate's Transformative Aeronautics Concepts Program, Transformational Tools and Technologies Project; Grant Number NNX15AU94A.
VARIABLES = "y (mm)", "U (m/s)", "Rexx (m/s)^2", "Reyy (m/s)^2", "Rexy (m/s)^2"
ZONE T="Frame 0", I=88, J=1, F=POINT
0.8957439903 67.8115531576 226.4004717591 50.0655836904 9.8290218309
1.0417287927 69.2964901934 207.1050247924 35.0900213611 10.0196262841
1.1877135951 70.3904572486 202.1298352434 29.8402369201 9.8246212661
1.3336983975 71.4136027229 204.0602893125 24.2574920372 8.9114801151
1.4796831999 72.3948737537 207.1133486783 19.0944294195 7.9180149822
1.6256680023 73.3229522140 210.2049006686 16.6593854666 7.5747264846
1.7716528047 74.1400778338 212.7593977000 15.2200895301 7.5327542211
1.9176376071 74.8958422029 216.9504719364 14.1257985302 7.4599633529
2.0636224095 75.6207082270 221.9433547606 13.2659820717 6.9857754240
2.2096072119 76.3398696550 225.8335174861 13.2040709064 6.1450920455
2.3555920143 77.0452152585 228.4095667945 12.4422995594 5.1411058692
2.5015768167 77.7221709612 229.9732350523 11.8361607413 4.6883121064
2.6475616191 78.3356362842 231.6461289741 11.3787587861 4.7280742183
2.7935464215 78.9033615590 233.3001690961 10.1995922026 4.2919184956
2.9395312238 79.4377833123 235.5850476174 9.6748628352 3.3906530696
3.0855160262 79.9329352560 237.5337611855 9.0623729174 2.3654032484
3.2315008286 80.3954651167 238.5986642262 8.6554513944 1.6998961063
3.3774856310 80.8190490819 238.6851402530 8.2859543506 1.2353539171
3.5234704334 81.1846548583 238.0437957064 7.9070933521 0.7090594904
3.6694552358 81.5262047833 237.6241461915 7.5149834263 -0.0770954315
3.8154400382 81.8271547958 236.4020403723 7.0211326376 -0.5796154767
3.9614248406 82.0796309760 234.3879414550 6.4546793816 -0.8744555421
4.1074096430 82.2939888917 232.1831315661 5.9581803196 -1.2897768935
4.2533944454 82.4772295000 230.1787171171 5.6245376234 -1.7951955965
4.3993792478 82.6232814514 228.2590746067 5.3477796723 -2.1345120581
4.5453640502 82.7430766235 226.5741942811 5.2398199480 -2.2954326541
4.6913488526 82.8307028133 225.1683289391 5.1548306127 -2.5277317932
4.8373336550 82.8925523822 223.7090344209 5.0324897330 -2.7121856059
4.9833184574 82.9308608113 222.3572216510 4.9998688814 -2.8956707663
5.1293032598 82.9598277576 221.1792016958 4.8848442901 -3.0158131115
5.2752880622 82.9802221735 220.3731332137 4.7493925327 -2.9427664746
5.4212728646 82.9916794240 219.4541770979 4.6283637279 -2.7966427439
5.5672576670 82.9897046867 218.7657309297 4.5555047972 -2.7554624066
5.7132424694 82.9642757286 218.5032677933 4.6291730853 -3.0600683728
5.8592272718 82.9285608937 218.0448818021 4.3721395767 -3.4280539398
6.0052120741 82.8928244803 217.4974983575 4.2287946328 -3.7208585646
6.1511968765 82.8516056235 217.1187302488 4.0322874832 -3.7283786339
6.2971816789 82.8022129474 216.6864856134 3.9275891174 -3.7267786909
6.4431664813 82.7624234769 216.2551723824 3.8495782914 -3.9478291256
6.5891512837 82.7134303015 215.8263583077 3.7741685500 -4.2369159379
6.7351360861 82.6554317451 215.7958719014 3.5951823439 -4.4011360374
6.8811208885 82.6042541907 215.5518927276 3.4691002173 -4.3999455050
7.0271056909 82.5630714345 215.5798188751 3.4278914634 -4.2560364201
7.1730904933 82.5155661898 216.0726438045 3.3512150342 -4.1211943712
7.3190752957 82.4731150083 216.5970654499 3.2808869652 -4.1253986000
7.4650600981 82.4209650402 216.5806594113 3.2334212350 -4.1321023962
7.6110449005 82.3639699445 216.6193918715 3.2121669195 -4.1682817867
7.7570297029 82.3130554121 216.1669007972 3.1400644641 -4.2544360118
7.9030145053 82.2682739592 215.5451194355 3.0541985545 -4.3741786072
8.0489993077 82.2144867531 215.2874036782 3.0057066239 -4.6153064527
8.1949841101 82.1529900397 215.7601711647 2.9872729987 -4.9033014209
8.3409689125 82.0978760968 216.2233341959 2.9775653149 -5.0640485550
8.4869537149 82.0405246250 216.2799580922 2.9294406642 -5.0010649397
8.6329385173 81.9924011571 216.0889252052 2.9318793966 -4.8210380135
8.7789233197 81.9551075487 216.1152309914 2.9646201450 -4.6340068256
8.9249081220 81.9188226809 216.3596343317 2.9275446185 -4.4788575572
9.0708929244 81.8712060199 216.5258076034 2.9210363714 -4.4205628645
9.2168777268 81.8285275006 216.4169693544 2.8905237275 -4.4632630256
9.3628625292 81.7846334819 216.6782572059 2.8479399801 -4.4937439191
9.5088473316 81.7441260860 216.9866220428 2.8207985760 -4.4893571585
9.6548321340 81.7165205666 216.6871321325 2.8300186128 -4.6168930341
9.8008169364 81.6944658015 216.3224103629 2.8401594539 -4.8416118805
9.9468017388 81.6617720684 216.3868833544 2.8264964179 -4.8428423027
10.0927865412 81.6210993465 216.8833523647 2.8206754227 -4.8356322202
10.2387713436 81.5722187685 217.4810705512 2.8400922904 -4.8913680886
10.3847561460 81.5221043898 217.8513543034 2.8709369197 -4.9931026458
10.5307409484 81.4766578727 217.9255840860 2.9193931585 -5.2005718982
10.6767257508 81.4455248995 217.9598889567 2.9543948038 -5.3129937048
10.8227105532 81.4193581252 218.0950694618 2.9889998240 -5.2767913324
10.9686953556 81.3953677477 217.7568668730 3.0351215306 -5.2199204070
11.1146801580 81.3629172006 217.2906264803 3.0144097812 -5.0466947958
