# Kim, K. U., Elliott, G. S., and Dutton, J. C., “A Three-Dimensional Experimental Study of Compressibility Effects on Turbulent Free Shear Layers,” AIAA Aviation Conference, Atlanta, GA, 2018.
# This work was funded by the NASA Aeronautics Mission Directorate's Transformative Aeronautics Concepts Program, Transformational Tools and Technologies Project; Grant Number NNX15AU94A.
VARIABLES = "x (mm)", "y (mm)", "U (m/s)", "V (m/s)", "W (m/s)", "|V| (m/s)", "Rexx ((m/s)^2)", "Reyy ((m/s)^2)", "Rezz ((m/s)^2)", "Rexy ((m/s)^2)"
ZONE T="Frame 0", I=235, J=111, F=POINT
5.4850585054 16.1534790018 434.0167013590 -3.6929265717 3.6861861425 434.0480650038 18.9218368365 6.5448556575 44.2921072471 -0.2510534007
5.8355749385 16.1534790018 434.1284522175 -3.5869748739 3.4400767038 434.1568996817 16.9162596070 5.6874512361 35.5002519060 0.0537406383
6.1860913716 16.1534790018 434.4465422930 -3.5418490857 3.0446859551 434.4716480023 16.7625011865 5.6974243555 35.6291089548 0.1327282101
6.5366078046 16.1534790018 434.7659488916 -3.5059553134 2.5659775569 434.7876565395 16.5987240319 5.3674205451 35.4456359479 -0.0539914644
6.8871242377 16.1534790018 434.8859762539 -3.4353930679 2.3326910025 434.9058009674 17.2692069168 5.1228622232 36.1376013233 -0.3729876029
7.2376406708 16.1534790018 434.8166511924 -3.3001142006 2.4335156524 434.8359839139 18.1086239822 5.2457265779 36.1810872794 -0.4899500357
7.5881571038 16.1534790018 434.6746979388 -3.1470035951 2.6509499237 434.6941731785 18.2493472682 5.3990205767 35.3746535991 -0.5323992550
7.9386735369 16.1534790018 434.5961009752 -3.0361346252 2.5968894091 434.6144647051 18.0136376549 5.4143066099 36.0708540401 -0.6784126068
8.2891899700 16.1534790018 434.6405508652 -2.9649203749 2.3268247731 434.6568914934 17.6976075292 5.4503909343 37.1662708711 -0.8064015542
8.6397064030 16.1534790018 434.6701448912 -2.9013333924 2.1709352846 434.6852488355 17.4842301351 5.5321785507 37.3757349805 -0.8326383129
8.9902228361 16.1534790018 434.5652093496 -2.8398280656 2.2232066040 434.5801749368 17.5173052913 5.5928652872 37.3307049295 -0.9391181926
9.3407392692 16.1534790018 434.2292869095 -2.7898529882 2.4436841433 434.2451248797 17.7881663416 5.8770045445 37.9921465830 -1.2005774755
9.6912557022 16.1534790018 433.7607214495 -2.7777246410 2.8323459976 433.7788623370 18.0341427838 6.0223096104 37.5663814107 -1.2368118192
10.0417721353 16.1534790018 433.3298357950 -2.7939356943 3.4066394811 433.3522330153 18.0956148561 5.9960468929 36.8010529321 -1.0505630235
10.3922885684 16.1534790018 433.1446794956 -2.8083403140 3.9018238234 433.1713568322 18.0815056453 5.8979978464 37.0063758321 -0.9096789697
10.7428050014 16.1534790018 433.1847004623 -2.8166810681 4.0144558901 433.2124585731 18.4021447690 5.7484292658 38.1886374400 -0.6789207652
11.0933214345 16.1534790018 433.3265268989 -2.8062786921 3.6962101775 433.3513771572 18.8329017334 5.6718645117 38.5759747721 -0.5117242051
11.4438378675 16.1534790018 433.4870734891 -2.7814059799 3.0839497543 433.5069663195 18.5945857786 5.4452489615 37.7317755391 -0.4844055415
11.7943543006 16.1534790018 433.7464786437 -2.7297879318 2.3074856102 433.7612061582 17.9143913433 5.3125510427 37.5004592868 -0.5876831398
12.1448707337 16.1534790018 434.0772817389 -2.6246505006 1.7072417685 434.0885738954 17.4346544032 5.6559640107 37.9820333850 -0.5637565450
12.4953871667 16.1534790018 434.4438766409 -2.4803158549 1.4166737320 434.4532666260 17.1659107647 5.7860995110 38.3841219768 -0.5156221390
12.8459035998 16.1534790018 434.7649784570 -2.3839909400 1.2748992112 434.7733838145 17.7252997481 6.0163934435 39.2059039826 -0.4114109133
13.1964200329 16.1534790018 434.9754854786 -2.3529388509 1.0077210818 434.9830166688 18.5973242936 6.2259301293 39.6997982500 -0.3596292373
13.5469364659 16.1534790018 435.0469212887 -2.3027158255 0.5342663446 435.0533434689 19.1212807579 6.4604114654 40.9596313887 -0.3440643342
13.8974528990 16.1534790018 435.0348523888 -2.0948144562 0.1247219704 435.0399137965 19.7141070561 6.8007606351 40.6920918941 -0.6554204894
14.2479693321 16.1534790018 435.1388430611 -1.7099836164 0.1355187256 435.1422240484 19.4304414988 7.1420648894 40.6198619781 -0.7221886137
14.5984857651 16.1534790018 435.4128523712 -1.2919499159 0.6156990356 435.4152044083 19.1781028069 7.2076501237 40.3258103500 -0.6062436848
14.9490021982 16.1534790018 435.7268224477 -0.9849361839 1.0671722892 435.7292424848 19.4328235995 7.4349519581 40.9314103446 -0.4697288214
15.2995186313 16.1534790018 435.9503194950 -0.8483547790 1.0688198612 435.9524551480 19.8730442260 7.3413385764 42.5101467420 -0.3818866791
15.6500350643 16.1534790018 436.0175660554 -0.8688714449 0.7142888898 436.0190168503 20.0478152748 6.9405093459 44.1788536709 -0.3923448088
16.0005514974 16.1534790018 435.9895758958 -0.9963989860 0.2319870141 435.9907761854 19.3217383723 6.6298786946 44.6245696919 -0.7833835115
16.3510679305 16.1534790018 435.8285640741 -1.2085910321 -0.3541417528 435.8303837178 17.6803160057 6.6068721497 43.6947789078 -1.0329381890
16.7015843635 16.1534790018 435.4004995942 -1.5352020932 -1.1158718063 435.4046360137 16.8378552252 6.4690146865 45.7348135845 -0.7502995146
17.0521007966 16.1534790018 434.6255328392 -1.9772484791 -1.8653379686 434.6340331739 18.1740972067 6.2651402593 50.8841759645 -0.3184416021
