# Tymkiw, N. J., “Measurements in a Compresssible Planar Shear Layer with a Thermal Gradient", M.S. Thesis, 2020.
# This work was funded by the NASA Aeronautics Mission Directorate's Transformative Aeronautics Concepts Program, Transformational Tools and Technologies Project; Grant Number NNX15AU94A.
VARIABLES = "x (mm)", "y (mm)", "T0 (K)", "(y-y0)/b", "(T0-T02)/(T01-T02)", "(y-Y0)/B", "(T-T1)/(T2-T1)"
ZONE T="Frame 0", I=1, J=152, F=POINT
204.9000000000 13.5000010000 298.0039429119 1.1813821195 0.0000200148 0.6523161176 0.0253076759
204.9000000000 13.9999640000 298.0237941440 1.2132772788 0.0001207825 0.6754704853 0.0214361691
204.9000000000 14.5000270000 297.6598515970 1.2451788175 -0.0017266416 0.6986294842 0.0172016143
204.9000000000 14.9999900000 297.6703293895 1.2770739767 -0.0016734549 0.7217838519 0.0153453732
204.9000000000 15.4999530000 297.5689459635 1.3089691360 -0.0021880916 0.7449382196 0.0137984335
204.9000000000 16.0000160000 297.4974293488 1.3408706747 -0.0025511201 0.7680972185 0.0122458145
204.9000000000 16.4999790000 297.6762004540 1.3727658339 -0.0016436525 0.7912515862 0.0114122154
204.9000000000 17.0000410000 297.6618970781 1.4046673089 -0.0017162585 0.8144105388 0.0116485554
204.9000000000 17.5000050000 297.3503918823 1.4365625319 -0.0032975031 0.8375649528 0.0107380284
204.9000000000 17.9999680000 297.4384650601 1.4684576911 -0.0028504312 0.8607193205 0.0111074337
204.9000000000 18.5000300000 297.1446348285 1.5003591661 -0.0043419552 0.8838782731 0.0108661977
204.9000000000 18.9999940000 297.5538741696 1.5322543891 -0.0022645981 0.9070326871 0.0114926704
204.9000000000 19.4999570000 297.1837132538 1.5641495483 -0.0041435875 0.9301870548 0.0116707254
204.9000000000 20.0000200000 297.2086705151 1.5960510871 -0.0040169009 0.9533460537 0.0117972679
204.9000000000 20.4999830000 297.2394035439 1.6279462463 -0.0038608957 0.9765004214 0.0096120427
204.9000000000 21.0000450000 297.2627404355 1.6598477212 -0.0037424343 0.9996593740 0.0081806284
204.9000000000 21.5000090000 297.2802842466 1.6917429443 -0.0036533795 1.0228137881 0.0071018609
204.9000000000 21.9999720000 297.2878412953 1.7236381035 -0.0036150188 1.0459681558 0.0052812033
204.9000000000 22.5000340000 297.4253125290 1.7555395784 -0.0029171953 1.0691271084 0.0050497720
204.9000000000 22.9999980000 297.2646304666 1.7874348015 -0.0037328403 1.0922815224 0.0034782284
204.9000000000 23.4999610000 297.0226853790 1.8193299607 -0.0049609879 1.1154358901 0.0012877559
204.9000000000 24.0000230000 297.0240605664 1.8512314356 -0.0049540073 1.1385948427 0.0008160531
204.9000000000 24.4999870000 297.2201205889 1.8831266587 -0.0039587787 1.1617492567 0.0013522252
204.9000000000 25.0000490000 297.0807143254 1.9150281336 -0.0046664247 1.1849082093 -0.0000504179
204.9000000000 25.0254490000 297.2364946238 1.9166485276 -0.0038756618 1.1860845382 0.0004475999
