# Kim, K. U., Elliott, G. S., and Dutton, J. C., “A Three-Dimensional Experimental Study of Compressibility Effects on Turbulent Free Shear Layers,” AIAA Aviation Conference, Atlanta, GA, 2018.
# This work was funded by the NASA Aeronautics Mission Directorate's Transformative Aeronautics Concepts Program, Transformational Tools and Technologies Project; Grant Number NNX15AU94A.
VARIABLES = "y (mm)", "U (m/s)", "Rexx (m/s)^2", "Reyy (m/s)^2", "Rexy (m/s)^2"
ZONE T="Frame 0", I=45, J=1, F=POINT
0.8410722166 108.4825596200 191.6403473947 213.9992892172 21.9486955086
1.1332274228 118.5884591310 118.3564767905 89.7643470482 21.7707772769
1.4253826290 127.9113243625 93.2496691156 46.5075259619 18.5241737142
1.7175378352 136.4115492592 77.0679682385 30.0492129823 16.0987278494
2.0096930414 143.9561737450 62.0072432307 22.9590756044 12.7463578779
2.3018482476 150.4229239358 47.1401264997 18.1353177564 8.5485422305
2.5940034539 155.3444666747 31.0416311230 14.9587722044 4.1287924866
2.8861586601 158.3020031468 19.2487353718 12.1501793864 1.6513198137
3.1783138663 159.5757000180 14.6484430398 10.7901477776 0.4017691746
3.4704690725 159.8819860629 13.8973604836 10.8259503844 -0.1742939522
3.7626242787 159.8407892395 14.4534004182 12.9280780849 -0.1165657778
4.0547794849 159.7553598642 15.0663847251 14.8630048133 0.1622835970
4.3469346911 159.7237402460 15.3933532398 16.6343583539 0.3719520344
4.6390898973 159.7680131238 14.8617260295 16.8866104713 0.3947868071
4.9312451035 159.8269570540 13.7599955293 14.3002698895 0.4138485297
5.2234003097 159.9219690615 12.6046462404 12.4407412681 0.3952955211
5.5155555159 160.0603269705 11.5282723120 10.7096547310 0.2467910445
5.8077107221 160.1858494288 10.8345158393 9.4099840684 0.1161968463
6.0998659283 160.2950299670 10.2328239250 8.6694430887 0.0886511446
6.3920211345 160.3615441706 10.1387351322 8.1969309423 0.0823897959
6.6841763407 160.3855280627 10.1974441959 8.4306334449 0.0501487585
6.9763315469 160.3971839030 10.4180685023 8.1747681425 0.1064150148
7.2684867531 160.4123997372 10.2082351740 7.4544987596 0.2362071412
7.5606419593 160.4242694052 10.1543120010 7.0577601484 0.1605859249
7.8527971655 160.4383840387 10.2284666048 6.9715563157 0.2186024006
8.1449523717 160.4670405637 10.1279834191 7.2384790543 0.3102061844
8.4371075779 160.5244659944 10.0928204394 7.7938760324 0.2957270856
8.7292627841 160.5969047058 9.7655245945 7.8639985291 0.4220394443
9.0214179903 160.6862124073 9.5220800018 7.3979802213 0.5107913083
9.3135731965 160.7657725781 9.1007163430 7.5673189383 0.2054165312
9.6057284027 160.8092833068 8.8814924704 6.8776566267 0.1395444836
9.8978836089 160.7985697079 9.0456104789 6.7148383431 0.3407954431
10.1900388151 160.7800075521 8.8527429884 6.8520170741 0.2652768927
10.4821940213 160.7740750204 8.7555539841 6.6229568595 0.3111718188
10.7743492275 160.7969963384 8.7137239890 6.3509615091 0.3809602361
11.0665044338 160.8592663780 8.5096459391 6.2333271129 0.5381306594
11.3586596400 160.9289348863 8.4689995686 6.2711880531 0.6487050641
11.6508148462 160.9847133320 8.1518318537 5.9761748027 0.6135832312
11.9429700524 161.0339105112 8.2380451009 5.8989543916 0.6063615289
12.2351252586 161.0731234843 8.4180888575 6.1420503053 0.6292460391
12.5272804648 161.0988984608 8.5803827571 6.1640113513 0.6010761857
12.8194356710 161.1328944031 8.8104540646 6.2589182518 0.5567105039
13.1115908772 161.1717214785 9.0527070591 6.5701556629 0.5917187453
13.4037460834 161.2150588840 9.2370305132 6.9026038261 0.5480597651
13.6959012896 161.2541322413 9.7074015612 7.4120727730 0.4970878215
